"Date","CountYear","LowTemp.F","HighTemp.F","AMCloud","PMClouds","AMRain","PMRain","AMSnow","PMSnow","participants","total_hrs","calendar_year","Accipiter sp.","American Black Duck","American Coot","American Crow","American Goldfinch","American Kestrel","American Pipit","American Robin","American Tree Sparrow","American Wigeon","American Woodcock","Bald Eagle","Barn Owl","Barred Owl","Belted Kingfisher","Black Vulture","blackbird sp.","Blue Jay","Bonaparte's Gull","Brown-headed Cowbird","Brown Creeper","Brown Thrasher","Bufflehead","Cackling Goose","Canada Goose","Canvasback","Carolina Chickadee","Carolina Wren","Cedar Waxwing","Chipping Sparrow","Common Goldeneye","Common Grackle","Common Loon","Common Merganser","Common Raven","Common Yellowthroat","Cooper's Hawk","crow sp.","Dark-eyed Junco (Slate-colored)","Double-crested Cormorant","Downy Woodpecker","Eastern Bluebird","Eastern Meadowlark","Eastern Phoebe","Eastern Screech-Owl","Eastern Towhee","Eurasian Wigeon","European Starling","Evening Grosbeak","Field Sparrow","Fish Crow","Fox Sparrow","Gadwall","Glaucous Gull","Golden-crowned Kinglet","Gray Catbird","Great Black-backed Gull","Great Blue Heron (Blue form)","Great Cormorant","Great Egret","Great Horned Owl","Greater Scaup","Greater White-fronted Goose","Green-winged Teal (American)","gull sp.","Hairy Woodpecker","Henslow's Sparrow","Hermit Thrush","Herring Gull","Hooded Merganser","Horned Grebe","Horned Lark","House Finch","House Sparrow","House Wren","Killdeer","Lapland Longspur","Laughing Gull","Lesser Black-backed Gull","Lesser Scaup","Lincoln's Sparrow","Loggerhead Shrike","Long-eared Owl","Mallard","Merlin","Mourning Dove","Mute Swan","Northern Bobwhite","Northern Cardinal","Northern Flicker (Yellow-shafted)","Northern Harrier","Northern Mockingbird","Northern Pintail","Northern Saw-whet Owl","Northern Shoveler","Pacific/Winter Wren","Palm Warbler","Pied-billed Grebe","Pileated Woodpecker","Pine Siskin","Pine Warbler","Purple Finch","Red-bellied Woodpecker","Red-breasted Merganser","Red-breasted Nuthatch","Red-headed Woodpecker","Red-shouldered Hawk","Red-tailed Hawk","Red-winged Blackbird","Redhead","Ring-billed Gull","Ring-necked Duck","Ring-necked Pheasant","Rock Pigeon (Feral Pigeon)","Rough-legged Hawk","Ruby-crowned Kinglet","Ruddy Duck","Rusty Blackbird","Sandhill Crane","Savannah Sparrow","Sharp-shinned Hawk","Short-eared Owl","Snow Bunting","Snow Goose","Song Sparrow","Swamp Sparrow","Thayer's Gull","Townsend's Solitaire","Trumpeter Swan","Tufted Titmouse","Tundra Swan","Turkey Vulture","White-breasted Nuthatch","White-crowned Sparrow","White-throated Sparrow","Wild Turkey","Wilson's Snipe","Wilson's/Common Snipe","Winter Wren","Wood Duck","Yellow-bellied Sapsucker","Yellow-rumped Warbler (Myrtle)"
2011-12-18,"112",29,47,"Cloudy","Cloudy","None","None","None","None",48,101,"2011","","149","12","913","207","7","","304","","91","1","16","","4","8","228","","295","","","5","","105","","4065","1","480","154","377","","","","","21","6","1","6","","1685","11","129","445","3","4","26","3","","4650","","76","109","","191","","16","2","37","13","1","","25","1","","76","","18","","16","224","209","2","","133","173","","19","","","1","7","","","","237","1","277","2","","442","92","4","151","2","1","","","","18","26","","1","","140","","","1","61","87","152","3","358","1154","","191","","15","18","","","3","3","","","1","319","14","","","","352","12","381","149","49","793","9","4","","3","3","40","176"
2012-12-16,"113",31,35,"Partly Cloudy","Partly Cloudy","Light","None","None","None",42,145.25,"2012","","40","12","683","258","11","62","538","4","55","","16","","8","11","101","","824","","60","8","1","87","cw","3772","","440","279","95","2","cw","3","1","4","10","1","6","56","1620","","138","295","14","4","14","32","","3591","","170","127","3","89","1","37","","85","20","","","20","2","cw","69","","14","","16","227","133","","","162","108","","2","","","","8","","","","223","1","589","2","","471","149","12","153","1","","cw","","","17","43","12","","8","215","","12","6","75","81","118","","760","623","","204","","11","81","","","20","6","4","","","491","42","","","","301","9","252","149","77","930","24","6","","3","7","29","56"
2013-12-15,"114",28,43,"Partly Cloudy","Partly Cloudy","None","None","None","None",38,110.75,"2013","","37","1","774","169","9","6","411","","51","","28","cw","1","15","187","","116","","31","8","1","91","","8083","7","440","293","54","2","1","cw","","44","6","","5","76","1801","","114","397","44","5","20","10","","965","","96","28","2","68","","38","","36","6","","","11","","","cw","","13","","8","72","153","1","104","57","206","","27","","cw","","","","","","211","","286","1","","527","111","8","185","cw","","cw","","","14","39","","","","108","","","","108","95","52","16","5030","1233","","99","","3","18","","","4","4","2","","","557","50","","","","233","cw","255","114","23","837","69","3","","3","","28","42"
2014-12-14,"115",20,40,"Clear","Clear","None","None","None","None",34,93,"2014","1","20","","507","207","12","1","6900","5","32","cw","33","","1","10","298","","604","","564","8","1","103","5","6810","","261","220","292","17","1","","4","","13","","5","43","1429","1","87","343","43","2","8","42","","8173","","148","174","","42","","11","1","7","21","","","5","","","10","","14","","23","133","208","21","","73","58","","4","","","","2","","","","341","","128","","","269","76","5","149","1","","cw","","","15","29","","","21","144","","5","20","39","56","307","9","1019","354","","56","","9","47","50","","14","4","1","","","641","120","","","","182","1","299","75","35","904","72","3","","8","2","41","41"
2015-12-20,"116",18,39,"Clear","Clear","None","None","None","None",44,138,"2015","","32","","653","318","7","100","867","3","75","1","18","2","2","15","142","","359","","214","7","","152","","4000","","361","210","457","2","","4","","5","19","","5","11","1163","","144","212","44","","9","25","","1002","","114","40","4","82","","27","3","","17","","","5","","","24","","9","","18","","122","","100","185","116","","17","","","","1","","","","441","","194","5","","521","70","15","101","2","","","","","7","33","3","","4","225","","","13","65","60","111","","35","627","","432","","8","7","","","16","5","1","","","661","42","","","","252","","218","135","25","1383","61","1","","6","4","61","190"
2016-12-18,"117",41,64,"Cloudy","Cloudy","Light","Light","None","None",46,123.5,"2016","","97","1","661","351","","43","111","8","28","1","25","","3","19","250","10","543","","","14","","158","","6556","cw","467","307","37","11","","2","1","4","21","","4","","1223","cw","130","236","24","4","1","28","","903","","80","13","6","77","","15","1","","24","","","","","","13","30","19","","11","","381","4","21","85","63","","6","","","","1","","","","363","","421","5","","490","154","13","125","1","","","","","7","28","","","9","145","","18","23","51","49","141","4","550","318","","61","","9","27","2","","16","4","4","","1","471","60","","","","301","cw","269","168","26","955","119","1","","4","3","22","4"
2017-12-17,"118",25,48,"Clear","Clear","None","Light","None","None",44,121,"2017","1","119","","603","351","10","","3560","1","95","1","29","","2","19","218","","365","","22","12","1","137","12","8502","3","302","337","803","5","","5","1","37","11","","2","32","916","10","138","410","59","8","16","37","","1431","","125","27","4","89","","46","","","35","","","4","","","41","","24","","56","","344","1","","222","204","","5","","","","32","1","","","466","","457","2","","552","141","8","127","","","","","","14","51","","","","188","","","20","66","43","691","12","366","494","","173","","37","13","48","","13","3","6","","","838","73","","","","196","26","163","142","26","1512","43","cw","","7","7","100","305"
2018-12-16,"119",41,50,"Cloudy","Cloudy","Light","Light","None","None",54,109.9,"2018","1","29","","339","228","13","","155","2","18","2","18","","2","16","166","25","669","","15","8","","159","2","6626","94","103","208","320","7","","","","202","14","","4","6","848","","68","138","cw","3","3","21","","2126","","163","19","1","23","","41","","","23","","","","","","2","","18","","9","","141","3","26","82","84","","13","","","","21","","","","290","2","278","4","","421","137","22","136","","","4","","","7","27","1","","8","144","3","7","16","39","59","428","","22","271","","178","","40","56","","","4","7","2","","cw","738","76","","","2","38","6","88","92","341","1379","69","8","","4","7","32","4"
2019-12-15,"120",36,53,"Partly Cloudy","Partly Cloudy","None","None","None","None",30,109.25,"2019","","29","","305","149","10","","3829","1","74","","40","","2","17","334","","233","","40","4","2","95","1","4510","6","78","269","338","9","","3","","","25","","5","31","437","","77","363","19","4","7","46","","1318","","151","256","7","9","","9","","","26","","","9","","","18","","15","","25","2","222","2","2","241","87","","29","","","","","","","","184","1","257","7","","386","67","16","93","","","9","","","7","32","","","","143","","","5","62","66","567","12","191","224","","90","","9","138","","","19","12","","","","872","54","","","2","80","6","369","70","8","1027","5","2","","7","2","54","110"
2020-12-20,"121",30,45,"Cloudy","Cloudy","None","None","None","None",52,153,"2020","","15","3","379","275","20","334","845","2","81","","27","","4","17","125","","364","","2","6","2","159","1","7715","22","146","328","49","10","1","1","","32","26","","8","69","1367","4","113","324","32","2","3","37","","2439","4","128","219","10","76","","23","1","","32","","","13","9","","3","","25","","30","9","219","","82","261","166","1","29","","","","18","","","","301","1","262","5","","620","106","18","182","","","","","4","19","42","17","1","31","155","","17","3","75","57","261","9","50","578","","182","","33","104","67","3","19","6","5","","","1288","91","","","","109","14","273","106","48","2336","65","","","4","3","67","63"
